Crazy:B	RISKY VENUS	3 044 579 	1 an	2 minutes
UNDEAD	DESTRUCTION ROAD 	1 697 214 	2 ans	2 minutes et 15 secondes
Crazy:B	Crazy Anthem	1 000 103 	6 mois	2 minutes et 38 secondes
Valkyrie	今宵月の館にて 	3 293 902 	3 ans	2 minutes et 16 secondes
UNDEAD	IMMORAL WORLD 	1 835 451 	2 ans	1 minute et 50 secondes
Ra*bits	メルティ♡キッチン 	3 550 953 	3 ans	2 minutes et 17 secondes
Valkyrie	Mémoire Antique 	1 848 296 	3 ans	2 minutes et 7 secondes
デッドマンズ	ROCK ROAR 	115 024 	1 mois	2 minutes et 31 secondes
Crazy:B	PARANOIA STREET 	5 743 182 	2 ans	2 minutes et 22 secondes
ナイトキラーズ	Crush of Judgment 	1 045 968 	4 mois	2 minutes et 16 secondes
Ra*bits	Milky Starry Charm 	2 181 830 	2 ans	2 minutes et 22 secondes
旧fine	Genuine Revelation	746 339 	8 mois	2 minutes et 6 secondes
Eden	Awakening Myth	3 329 730 	1 an	2 minutes et 20 secondes
ALKALOID	Distorted Heart 	7 085 705 	2 ans	2 minutes et 19 secondes
紅月	紅月いろは唄 	2 079 454 	2 ans	2 minutes
Switch	Romancing Cruise 	3 082 457 	1 an	2 minutes et 30 secondes
Ra*bits	野うさぎマーチ♪ 	719 465 	1 an	2 minutes et 10 secondes
Eve	Sunlit Smile! 	4 515 335 	3 ans	2 minutes et 16 secondes
√AtoZ	デートプランA to Z 	8 334 951 	3 ans	2 minutes et 23 secondes
2wink	トゥウィンクル空中戦 	258 946 	2 semaines	2 minutes et 19 secondes
Adam	The Beast of the End 	1 440 276 	2 ans	1 minute et 59 secondes
Valkyrie	凱旋歌 	3 034 632 	2 ans	2 minutes et 24 secondes
Trickstar	BIGBANG REFLECTION!! 	1 631 122 	3 ans	2 minutes et 22 secondes
Switch	エメラルドプラネット 	2 266 674 	3 ans	2 minutes et 20 secondes
流星隊	アンリミテッド☆パワー!!!!! 	2 449 314 	3 ans	2 minutes et 9 secondes
Valkyrie	Le temps des fleurs	1 180 939 	3 mois	2 minutes et 35 secondes
デッドマンズ	ROCK ROAR 	115 027 	1 mois	2 minutes et 31 secondes
ALKALOID	翼モラトリアム 	3 707 205 	3 ans	2 minutes et 36 secondes
fine	終わらないシンフォニア 	2 988 811 	3 ans	2 minutes et 54 secondes
ALKALOID	UNDYING HOLY LOVE 	950 356 	2 mois	2 minutes et 40 secondes
MaM with team 牛若丸	辻風に吹かれて	666 898 	1 an	2 minutes et 20 secondes
2wink	Swee2wink Love Letter	2 332 927 	1 an	2 minutes et 27 secondes
Knights	Mystic Fragrance 	7 196 621 	2 ans	2 minutes et 13 secondes
舞闘会	FIST OF SOUL	1 405 257 	1 an	2 minutes et 50 secondes
2wink	Turbulent Storm 	1 017 278 	8 mois	2 minutes et 31 secondes
紅月	金色千夜夢舞台 	272 753 	3 semaines	2 minutes et 38 secondes
Double Face	ネビュラ 	287 581 	3 mois	2 minutes et 39 secondes
Valkyrie	Acanthe	3 425 940 	1 an	2 minutes et 37 secondes
Trickstar	Finder Girl 	3 745 400 	1 an	2 minutes et 32 secondes
fine	The Tempest Night 	5 914 497 	3 ans	2 minutes et 25 secondes
fine	恋はプリマヴェーラ！ 	2 476 648 	2 ans	2 minutes et 18 secondes
流星隊	SUPER NOVA REVOLU5TAR 	2 119 575 	3 ans	2 minutes et 20 secondes
Knights	Little Romance 	6 398 417 	2 ans	2 minutes et 34 secondes
Trickstar	BREAKTHROUGH! 	2 134 417 	2 ans	2 minutes et 25 secondes
fine	Feathers of Ark 	2 307 905 	1 an	2 minutes et 43 secondes
Crazy:B	Honeycomb Summer 	9 913 654 	3 ans	2 minutes et 26 secondes
Double Face	No name yet	1 583 389 	1 an	2 minutes et 25 secondes
UNDEAD	Sustain Memories	1 663 745 	1 an	2 minutes et 40 secondes
Eden	楽園追放 -Faith Conquest- 	4 722 662 	3 ans	2 minutes et 14 secondes
Valkyrie	祝福のLibrary 	327 937 	1 mois	2 minutes et 43 secondes
Ra*bits	Love it Love it 	2 063 264 	3 ans	2 minutes et 45 secondes
紅月	薄紅色の約束 	1 300 646 	3 ans	2 minutes et 24 secondes
Trickstar	BREAKTHROUGH! 	2 134 422 	2 ans	2 minutes et 25 secondes
Trickstar	CHERRY HAPPY STREAM	880 695 	1 an	2 minutes et 2 secondes
流星隊	熱血☆流星忍法帖 	3 312 394 	2 ans	2 minutes et 28 secondes
Ra*bits	パラレルメイズ 	476 762 	6 mois	2 minutes et 35 secondes
Switch & 2wink with 初音ミク & 鏡音リン・レン	Tell Your World	2 493 748 	1 an	2 minutes et 44 secondes
Adam	Melting Rouge Soul 	2 889 520 	10 mois	2 minutes et 45 secondes
Ra*bits	メイド・イン・トキメキ♪	1 757 617 	1 an	2 minutes et 23 secondes
Switch × Eden	Majestic Magic-6周年先行公開ver- 	3 677 500 	2 ans	2 minutes et 39 secondes
STAR TRAINER	あんさんぶるトレーニング  	682 460 	8 mois	2 minutes et 43 secondes
月都スペクタクル	ムーンライトディスコ 	6 871 846 	2 ans	2 minutes et 26 secondes
Trickstar	BIGBANG REFLECTION!! 	1 631 129 	3 ans	2 minutes et 22 secondes
旧fine	Genuine Revelation	746 336 	8 mois	2 minutes et 6 secondes
Valkyrie	迷宮電子回廊 	2 290 844 	9 mois	2 minutes et 45 secondes
流星隊	SUPER NOVA REVOLU5TAR 	2 119 569 	3 ans	2 minutes et 20 secondes
Branco	Sweet Sweet White Song 	3 789 193 	3 ans	2 minutes et 13 secondes
Ra*bits	Joyful×Box* 	2 507 293 	3 ans	2 minutes et 44 secondes
流星隊	RELAX PARADISE 	725 369 	5 mois	2 minutes et 42 secondes
MaM	君印 Be Ambitious!! 	737 484 	3 ans	2 minutes et 4 secondes
Eden	Deep Eclipse 	5 384 630 	1 an	2 minutes et 39 secondes
UNDEAD	Valentine Eve's Nightmare 	4 955 159 	3 ans	2 minutes et 47 secondes
Valkyrie	Eternal Weaving 	3 579 580 	3 ans	2 minutes et 9 secondes
Valkyrie & 紅月	勇侠青春謳	2 131 941 	1 an	2 minutes et 42 secondes
Knights	Promise Swords	3 462 746 	1 an	2 minutes et 40 secondes
デッドマンズ	Death Game Holic 	742 397 	6 mois	2 minutes et 24 secondes
fine	羽ばたきのフォルティシモ 	1 123 077 	3 ans	2 minutes et 22 secondes
流星隊	天下無敵☆メテオレンジャー！ 	4 686 480 	3 ans	2 minutes et 50 secondes
紅月	薄紅色の約束 	1 300 645 	3 ans	2 minutes et 24 secondes
UNDEAD	FORBIDDEN RAIN 	2 832 168 	2 ans	2 minutes et 10 secondes
MaM	Blooming World 	1 065 407 	3 ans	2 minutes et 28 secondes
Crazy:B	NA NA NA SUMMER NIGHT BeeAT 	1 137 996 	5 mois	2 minutes et 35 secondes
Knights	Fight for Judge 	7 512 131 	3 ans	2 minutes et 25 secondes
Switch	I ”Witch” You A Happy Halloween! 	1 349 011 	3 ans	2 minutes et 23 secondes
Double Face	=EYE= 	3 182 439 	3 ans	2 minutes et 18 secondes
Valkyrie	Eternal Weaving 	3 579 593 	3 ans	2 minutes et 9 secondes
MaM	HELLO, NEW YEAR! 	796 552 	11 mois	2 minutes et 41 secondes
Eden & Trickstar	(RE)PLAY	2 028 581 	1 an	2 minutes et 22 secondes
2wink	シュガー・スパイス方程式 	722 859 	1 an	2 minutes et 23 secondes
fine	Angelic Grace 	265 157 	2 mois	2 minutes et 47 secondes
Eve	Ruby Love 	3 407 941 	10 mois	2 minutes et 40 secondes
ALKALOID	Black Out See Saw 	111 838 	17 heures	2 minutes et 27 secondes
2wink	Love×me⇄monsteR 	595 906 	2 mois	2 minutes et 26 secondes
Trickstar	Welcome to the Trickstar Night☆ 	777 334 	11 mois	2 minutes et 10 secondes
Knights	Grateful allegiance 	5 156 824 	3 ans	2 minutes et 3 secondes
流星隊 × Knights	青春Emergency 	3 353 725 	1 an	2 minutes et 32 secondes
2wink	Fighting Dreamer 	1 696 852 	2 ans	2 minutes et 23 secondes
MaM	Festive! 	720 080 	3 ans	2 minutes et 6 secondes
Ra*bits & 流星隊	ハム太郎とっとこうた	1 888 402 	1 an	2 minutes et 12 secondes
流星隊	Colors Arise 	865 359 	10 mois	2 minutes et 31 secondes
Ra*bits	ヒカリスペクトル 	471 826 	4 mois	2 minutes et 48 secondes
UNDEAD	Resurrection of Soul 	657 800 	1 mois	2 minutes et 40 secondes
紅月	月下無双、紅の舞 	873 698 	2 ans	2 minutes et 28 secondes
2wink	TRICK with TREAT!!(with UNDEAD) 	2 572 257 	3 ans	2 minutes et 29 secondes
fine	Holy Angel's Carol 	1 403 275 	4 ans	2 minutes et 40 secondes
紅月	祭夜絵巻 	1 201 268 	3 ans	2 minutes et 15 secondes
Eve	Sunlit Smile! 	4 515 328 	3 ans	2 minutes et 16 secondes
